contigName	bin	contigLen	totalAvgDepth	L1.sorted.bam	L1.sorted.bam-var	L2.sorted.bam	L2.sorted.bam-var	L3.sorted.bam	L3.sorted.bam-var	P1.sorted.bam	P1.sorted.bam-var	P2.sorted.bam	P2.sorted.bam-var	P3.sorted.bam	P3.sorted.bam-var
NODE_10015_length_3263_cov_22.8123_ID_32024294	3	3263	3.57597	0.0963701	0.0871061	0	0	0	0	0.308063	0.249223	1.52554	0.883098	1.646	1.82649
NODE_10016_length_3263_cov_27.8953_ID_31864423	3	3263	5.27176	0	0	0.0963701	0.111526	0	0	0.676518	0.513881	2.48571	1.64128	2.01317	1.71734
NODE_1013_length_10862_cov_33.9028_ID_24002213	3	10862	4.34065	0.00448096	0.00446029	0	0	0	0	0.667382	0.617299	2.36492	2.75825	1.30386	1.50993
NODE_1022_length_10768_cov_288.042_ID_24062106	2	10768	204.977	41.7606	62.9145	41.9891	65.2978	42.1707	56.7818	24.2083	23.8938	26.308	25.3475	28.5406	35.8915
NODE_1026_length_10756_cov_287.531_ID_23949068	2	10756	199.732	39.9313	57.6889	40.3618	40.2147	40.8798	62.411	26.2669	28.6905	26.4793	34.9463	25.8129	36.7506
NODE_102_length_55674_cov_25.6764_ID_23911063	6	55674	4.00241	0.980513	0.98062	0.834558	0.975494	1.14558	1.11582	0.00814062	0.0128982	0.314062	0.324837	0.719563	0.698423
NODE_1035_length_10710_cov_28.0019_ID_23954628	3	10710	5.21449	0.0285985	0.0353654	0.0284091	0.0275982	0	0	0.59053	0.690691	2.56515	3.29428	2.0018	2.0562
NODE_1037_length_10707_cov_29.1607_ID_24036114	3	10707	4.32689	0.0571185	0.0538472	0.0285119	0.0277026	0	0	0.527044	0.637524	2.2944	3.00664	1.41982	1.38678
NODE_103_length_55199_cov_28.2236_ID_32315128	3	55199	4.67293	0.0273211	0.0265614	0.0273574	0.0266083	0.0164036	0.0161131	0.723683	0.750147	2.36871	2.66968	1.50946	1.47826
NODE_10423_length_3212_cov_25.1267_ID_24095861	3	3212	4.5049	0	0	0	0	0	0	0.530699	0.249132	1.9128	2.11555	2.0614	2.06871
NODE_1042_length_10654_cov_26.861_ID_23983736	3	10654	4.76352	0.0142803	0.0140776	0	0	0	0	0.603008	0.693227	2.53465	2.54568	1.61158	1.29974
NODE_1043_length_10647_cov_270.326_ID_23949004	2	10647	207.859	43.5298	53.5187	42.9951	48.1659	41.985	49.8567	24.7279	32.0526	27.578	28.1061	27.0435	39.6304
NODE_1044_length_10647_cov_29.9342_ID_24009073	3	10647	4.00734	0.0287701	0.0279443	0.0575402	0.0660375	0	0	0.678289	0.861689	1.95704	1.8661	1.2857	1.26316
NODE_1049_length_10634_cov_267.132_ID_32228228	2	10634	199.306	40.9021	65.6722	41.7603	89.8338	42.2833	75.7711	23.386	36.5415	25.6459	36.3777	25.3279	43.0638
NODE_1053_length_10619_cov_29.3532_ID_23948704	3	10619	4.2623	0.0283695	0.027558	0	0	0.0288471	0.0280161	0.690419	0.983844	1.96475	2.09123	1.54991	1.3608
