contigName	contigLen	totalAvgDepth	L1.sorted.bam	L1.sorted.bam-var	L2.sorted.bam	L2.sorted.bam-var	L3.sorted.bam	L3.sorted.bam-var	P1.sorted.bam	P1.sorted.bam-var	P2.sorted.bam	P2.sorted.bam-var	P3.sorted.bam	P3.sorted.bam-var
NODE_1_length_1935275_cov_24.6805_ID_23901540	1.93528e+06	3.81973	0.384547	0.40742	0.559138	0.59541	0.264181	0.276061	1.40386	1.48422	1.13602	1.17447	0.0719824	0.0750967
NODE_2_length_1021023_cov_23.722_ID_28578184	1.02102e+06	3.79263	0.361356	0.370018	0.559212	0.616769	0.260588	0.274248	1.37231	1.4455	1.16247	1.26335	0.0766912	0.0846405
NODE_3_length_872793_cov_26.0458_ID_35712810	872793	4.08657	0.397981	0.416854	0.597986	0.629371	0.276378	0.292554	1.51594	1.60846	1.21	1.22886	0.0882858	0.0974476
NODE_4_length_853167_cov_25.0814_ID_23902252	853167	3.95794	0.384594	0.395542	0.59181	0.659878	0.268649	0.282336	1.45993	1.50359	1.1704	1.21212	0.0825517	0.0909625
NODE_5_length_723368_cov_22.0639_ID_32380821	723368	3.54784	0.576476	0.602873	0.49381	0.535239	0.308742	0.321746	0.65946	0.690835	1.42751	1.54562	0.0818356	0.090467
NODE_6_length_592196_cov_27.8287_ID_32359880	592196	4.46972	1.23031	1.31669	0.910303	0.964396	1.20794	1.25681	0.011945	0.014408	0.355303	0.361317	0.753918	0.804243
NODE_7_length_571573_cov_24.8726_ID_32329659	571573	3.87899	0.88336	0.931592	0.851431	0.898885	0.888109	0.960841	0.450843	0.484171	0.183012	0.183082	0.622238	0.673206
NODE_8_length_486458_cov_22.6157_ID_32183008	486458	3.49845	0.569483	0.601542	0.486603	0.500474	0.316542	0.325059	0.640236	0.666413	1.39795	1.41065	0.087642	0.0974081
NODE_9_length_472787_cov_23.2794_ID_23901976	472787	3.66833	0.343202	0.345515	0.584793	0.636413	0.255867	0.271952	1.33483	1.39462	1.07996	1.14636	0.0696793	0.0723315
NODE_10_length_457796_cov_24.4976_ID_32024643	457796	3.99145	0.98829	1.03323	0.873083	0.859962	0.944689	1.0116	0.433975	0.454223	0.194556	0.198859	0.556852	0.587123
NODE_11_length_441343_cov_25.5928_ID_31760056	441343	4.16617	0.939197	0.935572	0.906941	0.967726	0.930375	0.965478	0.492558	0.522957	0.213476	0.216914	0.683628	0.706315
NODE_12_length_378365_cov_24.8655_ID_32550723	378365	4.10114	0.940589	1.01559	0.883429	0.941597	0.961961	1.02602	0.440905	0.462049	0.196341	0.214099	0.677919	0.720075
NODE_13_length_350638_cov_27.7245_ID_23902421	350638	4.57964	1.24029	1.35076	1.00123	1.01017	1.16641	1.27125	0.012825	0.0141413	0.395052	0.410347	0.763832	0.789897
NODE_14_length_331365_cov_21.8488_ID_31944740	331365	3.45362	0.575321	0.590972	0.471153	0.520414	0.32046	0.327087	0.64277	0.705991	1.37557	1.40953	0.0683423	0.0747144
NODE_15_length_326448_cov_25.7521_ID_31591722	326448	4.04381	0.913058	1.01502	0.841461	0.892547	0.955991	1.03237	0.502728	0.521107	0.203808	0.217049	0.626768	0.684758
NODE_16_length_272917_cov_22.4447_ID_31616448	272917	3.49325	0.568559	0.577173	0.50589	0.574933	0.306753	0.309397	0.648378	0.658595	1.36921	1.39804	0.0944652	0.105293
NODE_17_length_270694_cov_23.0117_ID_32540331	270694	3.75899	0.607735	0.624397	0.539605	0.565749	0.320214	0.358062	0.693407	0.724553	1.49886	1.55181	0.0991706	0.106088
NODE_18_length_241594_cov_22.826_ID_24738059	241594	3.62225	0.591089	0.613257	0.48386	0.476994	0.339487	0.380044	0.66463	0.721828	1.45739	1.44405	0.0857922	0.0892471
NODE_19_length_238513_cov_25.7672_ID_31472675	238513	4.18802	1.16873	1.26657	0.934063	0.934614	1.05701	1.12932	0.0131816	0.014368	0.338278	0.371246	0.676754	0.717874
NODE_20_length_236014_cov_27.3601_ID_32425173	236014	4.38228	1.20612	1.29282	1.00414	1.03105	1.09685	1.14768	0.0104891	0.0114754	0.368704	0.418761	0.695973	0.704195
